mitograph_data_extract_v2.py
directory: 2019_02_15_glycerol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_glycerol_15_w2488 laser 10_cell_003	2019021505003	glycerol	4	4.975596129684676	37.8949807886359	1.6397101169795676	0.3719339714609145	15.8109	1.243899032421169	9.473745197158976	1.2837549857927064	0.6228663009436517	14.472426961447518	1.370276774472028	0.541223089955334	92.36672370850937	27.74932758147706	0.40268	0.09021	9.0	0	41.9922	0.11848857953821605
2019_02_15_glycerol_15_w2488 laser 10_cell_004	2019021505004	glycerol	4	5.050600898301028	36.63383969553875	1.6041740039758368	0.3885948597748779	13.71657	1.2626502245752569	9.158459923884687	1.2246649857431753	0.6960522879191381	15.20132251550523	1.3487956374357777	0.5727000302616144	81.93166370298947	27.059254058189346	0.44473	0.10236	9.0	0	72.0481	0.0701004037344639
2019_02_15_glycerol_15_w2488 laser 10_cell_005	2019021505005	glycerol	2	1.5601951692371678	11.410046663929744	1.3243679791660437	0.5701415033019649	4.53861	0.7800975846185839	5.70502333196487	1.1864277087459478	0.7266694386691096	10.155294173237827	1.2813323326117418	0.6112826107074629	36.32268178895663	22.434073100284603	0.36587	0.11685	2.0	0	19.5006	0.08000754690815502
2019_02_15_glycerol_15_w2488 laser 10_cell_006	2019021505006	glycerol	9	6.370277146040746	48.386929644009825	1.7063542347101919	0.3434484896071511	12.98864	0.7078085717823052	5.376325516001092	1.1735853757682149	0.7413566785333926	7.682826247976434	1.234360428302875	0.6685738407570582	158.08973154634074	20.34201113515288	0.41064	0.12189	19.0	0	91.9943	0.06924643315988867
2019_02_15_glycerol_16_w2488 laser 10_cell_001	2019021506001	glycerol	5	6.3990006972198925	48.30340668572201	1.7023261317442897	0.3450757719856993	19.00604	1.2798001394439786	9.660681337144402	1.2043959053748392	0.7415605953556722	35.39654528011315	1.5638389547426046	0.4358777690503336	102.83502778100662	42.2669797467882	0.42369	0.10111	11.0	1	92.6839	0.06904112469608954
2019_02_15_glycerol_16_w2488 laser 10_cell_002	2019021506002	glycerol	5	4.053265998749897	30.963790668027553	1.5870232792841268	0.3970392167869432	11.73079	0.8106531997499792	6.19275813360551	1.198896160329515	0.7154139842688714	11.122079789310815	1.3035913437447215	0.6030226550200525	94.4138836518638	24.067078881470948	0.4336	0.11927	11.0	0	53.4912	0.0757744451190083
2019_02_15_glycerol_16_w2488 laser 10_cell_003	2019021506003	glycerol	4	10.019728016684333	80.3356037530465	1.890572447828123	0.27977786462171733	38.58618	2.504932004171083	20.083900938261625	1.3575902963838122	0.606765296285145	49.35806709377228	1.6840985542752434	0.38274716364559613	120.86774847693985	53.50695030628769	0.38369	0.0892	13.0	0	101.6485	0.09857231554508264
2019_02_15_glycerol_16_w2488 laser 10_cell_004	2019021506004	glycerol	2	6.515722295165979	49.89557005173678	1.7197609239551548	0.338114539407554	22.73034	3.257861147582989	24.94778502586839	1.4358441385649778	0.5326089298347851	38.77278366775089	1.6216719082452005	0.3988941928632033	68.81910773369188	46.758748467270756	0.38944	0.10276	5.0	0	75.2519	0.08658548548496421
2019_02_15_glycerol_16_w2488 laser 10_cell_005	2019021506005	glycerol	1	3.8101646101543283	27.91546289833041	1.5382695443845151	0.4226054724946703	13.06738	3.8101646101543283	27.91546289833041	1.5382695443845151	0.4226054724946703	27.91546289833041	1.5382695443845151	0.4226054724946703	38.71003034909947	38.71003034909947	0.4158600000000001	0.08976	3.0	0	42.4028	0.08985643896521758
2019_02_15_glycerol_16_w2488 laser 10_cell_006	2019021506006	glycerol	2	3.557408451683795	25.486389364818532	1.5038372927585226	0.4421791893332543	9.48697	1.7787042258418977	12.743194682409266	1.338358818811685	0.5590447201126636	13.06322341692296	1.3430603168025683	0.5551187854396554	51.05815411307063	25.79779369528545	0.46599	0.08162	8.0	0	36.9065	0.09638975388302318
2019_02_15_glycerol_17_w2488 laser 10_cell_001	2019021507001	glycerol	6	6.465521475093978	47.24459245952259	1.6777714700748068	0.3552502480272381	18.2669	1.0775869125156632	7.874098743253765	1.2099827108936714	0.7026036911733361	13.532771809610233	1.3166796721704743	0.602032887100192	116.96824595406756	25.290362518100828	0.40952	0.11591	13.0	0	58.68899999999999	0.11016581429388776
2019_02_15_glycerol_17_w2488 laser 10_cell_002	2019021507002	glycerol	5	7.081054258394067	53.231772529334364	1.7277361791099677	0.335000260619366	22.12151	1.4162108516788134	10.646354505866872	1.3042244727243544	0.5993713072352855	14.491789019531883	1.368357630053038	0.542019247403973	120.28278598703035	27.63655453036188	0.41921	0.10569	6.0	0	78.8947	0.08975323131204083
2019_02_15_glycerol_17_w2488 laser 10_cell_003	2019021507003	glycerol	6	6.236385376460191	48.57677449153982	1.7218472712493589	0.3372956549595161	19.67666	1.0393975627433651	8.096129081923303	1.2260290180719329	0.6991291341324065	16.586615240158263	1.3924222033045734	0.5410887079277036	124.33284909695108	29.833869901309136	0.36332	0.11306	12.0	0	38.0822	0.16376116339025035
2019_02_15_glycerol_17_w2488 laser 10_cell_004	2019021507004	glycerol	9	6.748654780183258	49.87677638137585	1.6994225958088176	0.3462559326301545	15.93996	0.7498505311314729	5.541864042375094	1.1649412195621147	0.7534864145387935	10.7207636682716	1.2644194583752224	0.6470435297432278	155.27244159775069	22.221185779268694	0.42781	0.11154	16.0	0	88.4969	0.07625865742396917
2019_02_15_glycerol_17_w2488 laser 10_cell_005	2019021507005	glycerol	3	1.8703896105560385	14.430688838674904	1.4020304364844949	0.5087273849457303	5.20106	0.6234632035186795	4.810229612891633	1.1784869822534467	0.7359057422841526	9.749787909475911	1.2767657120193772	0.6231599884786788	53.40130548419518	22.409374745910668	0.26866	0.0811	5.0	0	18.8494	0.09922807148004915
2019_02_15_glycerol_17_w2488 laser 10_cell_006	2019021507006	glycerol	3	6.829493946655867	52.215936111407736	1.7319285195349692	0.3333804070082861	23.1002	2.2764979822186224	17.405312037135914	1.2813625180672514	0.7009665689099966	49.40498189417168	1.6999236726899936	0.351667953512856	79.19124361027966	52.63316817145442	0.35383000000000003	0.11629	9.0	0	70.4871	0.0968899833679619
2019_02_15_glycerol_17_w2488 laser 10_cell_007	2019021507007	glycerol	1	5.554531860485855	43.807382371096104	1.6994788680375164	0.3462330029299809	22.78857	5.554531860485855	43.807382371096104	1.6994788680375164	0.3462330029299809	43.807382371096104	1.6994788680375164	0.3462330029299809	52.200359388252885	52.200359388252885	0.37822	0.11084	4.0	0	68.7067	0.08084410778695317
2019_02_15_glycerol_17_w2488 laser 10_cell_008	2019021507008	glycerol	3	5.4894705658749965	41.16031926164365	1.6538158564157923	0.3656164242751373	16.649720000000002	1.829823521958332	13.720106420547886	1.3494452884045918	0.5629264513345594	19.852367867121774	1.4339213756013165	0.4973589668001694	80.44337320759041	31.97356557882421	0.41051	0.09918	8.0	0	69.0427	0.07950834144485944
2019_02_15_glycerol_18_w2488 laser 10_cell_001	2019021508001	glycerol	12	12.735221773144293	98.52687604600992	1.9328572923767675	0.2676704442049042	41.81151	1.0612684810953577	8.210573003834162	1.2210182885101366	0.7066756159523458	17.580009162999215	1.3964879462304758	0.5434438302571245	247.14610085431	30.432991715663377	0.40297	0.11722	26.0	1	103.4061	0.12315735506071976
